CEL,epoch,lr-Adam,step,train_acc,val_acc
,,0.001,0,,
50.29042434692383,0,,19,0.71875,
69.68017578125,0,,39,0.4375,
40.74045181274414,0,,59,0.59375,
,0,,75,,0.6597000956535339
,,0.00095,76,,
53.375057220458984,1,,79,0.53125,
56.35401153564453,1,,99,0.46875,
68.28004455566406,1,,119,0.71875,
46.77170944213867,1,,139,0.625,
,1,,151,,0.7309328317642212
,,0.0009025,152,,
37.533042907714844,2,,159,0.6875,
61.101619720458984,2,,179,0.65625,
52.315303802490234,2,,199,0.8125,
50.42439270019531,2,,219,0.5,
,2,,227,,0.7423136234283447
,,0.000857375,228,,
66.7333755493164,3,,239,0.6875,
72.03447723388672,3,,259,0.71875,
47.35082244873047,3,,279,0.59375,
42.8314323425293,3,,299,0.625,
,3,,303,,0.5683338046073914
,,0.0008145062499999999,304,,
53.159523010253906,4,,319,0.8125,
63.40713882446289,4,,339,0.8125,
44.912376403808594,4,,359,0.78125,
37.37168884277344,4,,379,0.84375,
,4,,379,,0.7570536732673645
,,0.0007737809374999998,380,,
47.41969299316406,5,,399,0.65625,
56.49074172973633,5,,419,0.78125,
38.181339263916016,5,,439,0.6875,
,5,,455,,0.7451907396316528
,,0.0007350918906249997,456,,
49.682281494140625,6,,459,0.71875,
37.19551086425781,6,,479,0.8125,
57.76288986206055,6,,499,0.75,
36.21401596069336,6,,519,0.96875,
,6,,531,,0.7615684866905212
,,0.0006983372960937497,532,,
63.45600509643555,7,,539,0.6875,
56.10489273071289,7,,559,0.625,
57.8463249206543,7,,579,0.71875,
62.30353546142578,7,,599,0.59375,
,7,,607,,0.7602831125259399
,,0.0006634204312890621,608,,
46.039146423339844,8,,619,0.75,
66.21702575683594,8,,639,0.75,
41.97522735595703,8,,659,0.78125,
48.40720748901367,8,,679,0.78125,
,8,,683,,0.7775101065635681
,,0.000630249409724609,684,,
40.05073547363281,9,,699,0.84375,
35.1795768737793,9,,719,0.75,
61.96995544433594,9,,739,0.84375,
67.86129760742188,9,,759,0.8125,
,9,,759,,0.7683383226394653
,,0.0005987369392383785,760,,
53.9251823425293,10,,779,0.6875,
40.3364372253418,10,,799,0.71875,
48.81583023071289,10,,819,0.8125,
,10,,835,,0.7851775884628296
,,0.0005688000922764595,836,,
69.34986877441406,11,,839,0.5625,
54.40497589111328,11,,859,0.8125,
58.576255798339844,11,,879,0.75,
56.66550827026367,11,,899,0.75,
,11,,911,,0.7745999693870544
,,0.0005403600876626365,912,,
70.20196533203125,12,,919,0.84375,
62.204505920410156,12,,939,0.84375,
52.655460357666016,12,,959,0.75,
41.167232513427734,12,,979,0.71875,
,12,,987,,0.7794269919395447
,,0.0005133420832795047,988,,
47.11376953125,13,,999,0.8125,
40.18743133544922,13,,1019,0.78125,
69.04226684570312,13,,1039,0.84375,
59.8828010559082,13,,1059,0.78125,
,13,,1063,,0.7823524475097656
,,0.00048767497911552944,1064,,
55.82662582397461,14,,1079,0.78125,
79.54039764404297,14,,1099,0.65625,
61.17897033691406,14,,1119,0.65625,
80.65557098388672,14,,1139,0.65625,
,14,,1139,,0.795433521270752
,,0.00046329123015975297,1140,,
53.545562744140625,15,,1159,0.6875,
48.7163200378418,15,,1179,0.84375,
55.53049850463867,15,,1199,0.8125,
,15,,1215,,0.7905917763710022
,,0.0004401266686517653,1216,,
69.53610229492188,16,,1219,0.8125,
30.249530792236328,16,,1239,0.8125,
45.99191665649414,16,,1259,0.6875,
40.782230377197266,16,,1279,0.8125,
,16,,1291,,0.7946332693099976
,,0.00041812033521917703,1292,,
51.22998809814453,17,,1299,0.75,
48.14035415649414,17,,1319,0.78125,
65.16277313232422,17,,1339,0.84375,
59.48550796508789,17,,1359,0.71875,
,17,,1367,,0.7948427796363831
,,0.00039721431845821814,1368,,
58.99452209472656,18,,1379,0.875,
41.384559631347656,18,,1399,0.71875,
55.45631790161133,18,,1419,0.84375,
53.27887725830078,18,,1439,0.71875,
,18,,1443,,0.8034733533859253
,,0.0003773536025353072,1444,,
59.688785552978516,19,,1459,0.875,
53.324344635009766,19,,1479,0.8125,
45.99585723876953,19,,1499,0.71875,
28.735849380493164,19,,1519,0.84375,
,19,,1519,,0.7870466113090515
,,0.0003584859224085418,1520,,
54.14496994018555,20,,1539,0.75,
65.71953582763672,20,,1559,0.8125,
62.034976959228516,20,,1579,0.625,
,20,,1595,,0.8006706833839417
,,0.0003405616262881147,1596,,
61.60565948486328,21,,1599,0.6875,
34.69981002807617,21,,1619,0.84375,
48.82807540893555,21,,1639,0.84375,
63.058265686035156,21,,1659,0.6875,
,21,,1671,,0.7683872580528259
,,0.00032353354497370894,1672,,
55.51034164428711,22,,1679,0.71875,
45.579490661621094,22,,1699,0.84375,
